sample_id,defense,defense_params,threshold,similarity_after_attack,mean_similarity,embedding_std,is_static,reject_reason,accepted_after_attack,accepted_after_defense,attack_success_after_defense,defense_success,defense_time_sec
vf_ea54843f0264,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.4593991,0.41577045,0.00530003,True,static_image,False,False,False,False,1.47227
vf_7d3bb72dda48,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.52593017,0.49044859,0.00421351,True,static_image,True,False,False,True,0.768476
vf_b5633cd5a05d,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.69783604,0.60653728,0.00619347,True,static_image,True,False,False,True,0.744428
vf_4321f23cd7aa,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.46160468,0.40630729,0.00594101,True,static_image,False,False,False,False,0.860854
vf_de3be2e27d53,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.47983536,0.4145251,0.00488249,True,static_image,True,False,False,True,0.753311
vf_090fcb274067,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.50400639,0.45646269,0.00550027,True,static_image,True,False,False,True,0.743246
vf_72be6e8889a8,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.53382748,0.45521332,0.00592616,True,static_image,True,False,False,True,0.737088
vf_3229b831cddf,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.48770806,0.42649664,0.00560144,True,static_image,True,False,False,True,0.752855
vf_c5bf893fcfcd,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.47344941,0.40549811,0.00465926,True,static_image,False,False,False,False,0.76549
vf_c4edf24d3517,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.46921083,0.39661405,0.00491564,True,static_image,False,False,False,False,0.77678
vf_b2ec962e2326,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.44046399,0.37154841,0.00510303,True,static_image,False,False,False,False,0.825186
vf_cc42d41730d5,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.59594476,0.52514415,0.00531643,True,static_image,True,False,False,True,0.796735
vf_8b68c1bd8551,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.58052814,0.53473299,0.00569311,True,static_image,True,False,False,True,0.840121
vf_1580f37c8bca,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.56809038,0.51312971,0.0048528,True,static_image,True,False,False,True,0.853095
vf_5192e29fd3b4,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.49430415,0.40888142,0.00477646,True,static_image,True,False,False,True,0.94617
vf_256d41087135,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.47399145,0.40559605,0.00443721,True,static_image,False,False,False,False,0.798735
vf_75286422bc69,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.65036035,0.61958647,0.00496146,True,static_image,True,False,False,True,0.995901
vf_d0571873a360,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.64960194,0.59053646,0.00585291,True,static_image,True,False,False,True,0.936675
vf_d131f35b4897,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.59173751,0.56376168,0.00425529,True,static_image,True,False,False,True,1.000302
vf_527d834a90c9,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.54064083,0.45761441,0.00612886,True,static_image,True,False,False,True,0.803559
vf_b5a935500105,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.55387908,0.502389,0.00508215,True,static_image,True,False,False,True,0.889739
vf_de0f6061f493,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.49679407,0.44251327,0.00501242,True,static_image,True,False,False,True,0.897332
vf_6663921a6626,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.53202081,0.47785444,0.00392762,True,static_image,True,False,False,True,0.902639
vf_41c6973c03e0,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.48298448,0.4235742,0.00504428,True,static_image,True,False,False,True,0.84101
vf_9acfe905916e,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.52045453,0.46886539,0.00419065,True,static_image,True,False,False,True,0.904483
vf_2f6130d35090,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.57751894,0.5129456,0.00457077,True,static_image,True,False,False,True,0.889195
vf_03b510d57c63,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.6847592,0.63631979,0.00474964,True,static_image,True,False,False,True,0.946347
vf_46e08db5e071,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.51011944,0.46430431,0.00526866,True,static_image,True,False,False,True,0.767907
vf_f26efc3bb6c7,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.55842996,0.52461071,0.00379293,True,static_image,True,False,False,True,0.780024
vf_e671675ac227,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.49051306,0.43757587,0.0049087,True,static_image,True,False,False,True,0.876107
vf_97fa354afcb4,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.57887578,0.48325683,0.00519068,True,static_image,True,False,False,True,0.818179
vf_bc1ed0750229,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.50937778,0.46343851,0.00367157,True,static_image,True,False,False,True,0.8044
vf_e275ab08155c,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.49607688,0.42245551,0.00641781,True,static_image,True,False,False,True,0.878936
vf_68193fc82496,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.53568834,0.45247298,0.00598905,True,static_image,True,False,False,True,0.887013
vf_fd2dc09a4922,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.50137103,0.45875832,0.00400219,True,static_image,True,False,False,True,0.862469
vf_5ceb016afb70,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.48819858,0.40989488,0.00533984,True,static_image,True,False,False,True,0.862914
vf_1fe2e3fe83ec,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.65094602,0.5803067,0.00440343,True,static_image,True,False,False,True,0.858768
vf_72324ad0e227,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.49328721,0.39585313,0.00545852,True,static_image,True,False,False,True,0.791444
vf_3f32d29a8cee,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.50621539,0.46262859,0.00357316,True,static_image,True,False,False,True,0.884997
vf_07ec11b48deb,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.48058242,0.39699979,0.00502294,True,static_image,True,False,False,True,0.888876
vf_e612aaf13640,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.46986148,0.39324275,0.00420607,True,static_image,False,False,False,False,0.831837
vf_41614476c16e,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.47257304,0.40518245,0.00459225,True,static_image,False,False,False,False,0.817294
vf_9d4939f90db1,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.76164943,0.68568311,0.00576363,True,static_image,True,False,False,True,0.93296
vf_3bb8e110c38d,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.45437643,0.40276893,0.00531989,True,static_image,False,False,False,False,0.884145
vf_67de95f8645a,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.54405886,0.46492984,0.00602009,True,static_image,True,False,False,True,0.927579
vf_7678ec274d7c,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.58916825,0.52221499,0.00550185,True,static_image,True,False,False,True,0.885436
vf_77929c8ec426,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.62700939,0.5778689,0.00461306,True,static_image,True,False,False,True,0.816678
vf_2e9c27c13851,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.46530131,0.36290267,0.00527282,True,static_image,False,False,False,False,0.876739
vf_5a94edcabb77,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.85273051,0.75035325,0.0071022,True,static_image,True,False,False,True,0.854041
vf_52d06780daa5,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.57500362,0.48894297,0.00607889,True,static_image,True,False,False,True,0.89747
vf_a68bec247b5f,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.51708746,0.44566562,0.00471755,True,static_image,True,False,False,True,0.859797
vf_b2db9c409315,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.61280626,0.5282304,0.00527547,True,static_image,True,False,False,True,0.933347
vf_d4a4986c9b43,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.49036503,0.40556689,0.00581365,True,static_image,True,False,False,True,0.933769
vf_48af2e6e91f3,temporal_consistency,"{""n_frames"": 10, ""static_thresh"": 0.015}",0.47966246581077576,0.61002445,0.53812922,0.00569047,True,static_image,True,False,False,True,0.844061
