sample_id,defense,defense_params,threshold,similarity_after_attack,mean_similarity,raw_mean_similarity,std_similarity,n_accepted,accept_rate,accepted_after_attack,accepted_after_defense,attack_success_after_defense,defense_success,defense_time_sec
vf_ea54843f0264,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.4593991,0.36133575,0.35750832,0.02185873,0,0.0,False,False,False,False,7.359289
vf_7d3bb72dda48,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.52593017,0.47566766,0.4698991,0.02233853,15,0.3,True,False,False,True,6.007611
vf_b5633cd5a05d,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.69783604,0.58143228,0.56332089,0.03921288,50,1.0,True,True,True,False,7.122163
vf_4321f23cd7aa,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.46160468,0.38465911,0.37947804,0.01491018,0,0.0,False,False,False,False,6.873481
vf_de3be2e27d53,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.47983536,0.45511562,0.44746733,0.02320642,7,0.14,True,False,False,True,6.252105
vf_090fcb274067,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.50400639,0.42491525,0.41852501,0.02571755,0,0.0,True,False,False,True,5.367822
vf_72be6e8889a8,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.53382748,0.46693993,0.46084454,0.02346652,14,0.28,True,False,False,True,5.716201
vf_3229b831cddf,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48770806,0.38235158,0.37601097,0.02817927,0,0.0,True,False,False,True,5.608957
vf_c5bf893fcfcd,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.47344941,0.41858423,0.4134916,0.02458214,0,0.0,False,False,False,False,5.715009
vf_c4edf24d3517,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.46921083,0.38121304,0.37486767,0.0260504,0,0.0,False,False,False,False,5.313967
vf_b2ec962e2326,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.44046399,0.37374812,0.36899342,0.02040877,0,0.0,False,False,False,False,5.150936
vf_cc42d41730d5,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.59594476,0.49069345,0.48284319,0.0229496,31,0.62,True,True,True,False,5.124013
vf_8b68c1bd8551,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.58052814,0.52223599,0.51286937,0.0248755,44,0.88,True,True,True,False,5.732404
vf_1580f37c8bca,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.56809038,0.51042354,0.50529861,0.01662418,45,0.9,True,True,True,False,5.165247
vf_5192e29fd3b4,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.49430415,0.43323463,0.42714303,0.01981552,1,0.02,True,False,False,True,5.212368
vf_256d41087135,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.47399145,0.37606421,0.36867461,0.02353504,0,0.0,False,False,False,False,6.711561
vf_75286422bc69,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.65036035,0.56261176,0.55681698,0.02009083,50,1.0,True,True,True,False,5.441687
vf_d0571873a360,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.64960194,0.58036703,0.56790664,0.02793362,50,1.0,True,True,True,False,5.653426
vf_d131f35b4897,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.59173751,0.53555942,0.53065905,0.01891418,50,1.0,True,True,True,False,6.31425
